Company,Violation,Date,Action,Case Number,Link
"IndyLegal Title Services, LLC",Failure  to Adhere to Good Funds Law,2015-08-07,$500  Administrative Penalty,14245-AG15-0721-211,https://www.in.gov/idoi/files/enforcement/14245-AG15-0721-211.pdf
"Innovative Insurance Partners, LLC",Lack of  Fitness/Trustworthiness,2022-05-09,$2000.00  Civil Penalty,20285-AG22-0112-004,https://www.in.gov/idoi/files/enforcement/20285-AG22-0112-004.pdf
"Inservices, Inc.",Surplus  Lines Tax Violation,2015-11-04,Suspension  Lifted,13735-AG15-0303-059,https://www.in.gov/idoi/files/enforcement/13735-AG15-0303-059c.pdf
Inspire Closing Services LLC,Failure  to input Real-Estate policies into the RREAL-IN database,2018-08-10,"$9,030  Fine",17263-AG18-0710-113,https://www.in.gov/idoi/files/enforcement/17263-AG18-0710-113.pdf
"Insurance Specialists of Indiana, Inc.",Misappropriation of Premium,2012-03-23,"$1,000 Fine",10987-AG12-0228-018,https://www.in.gov/idoi/files/enforcement/10987%20ins%20special%20fo_001.pdf
"Insured Closing Specialists, Inc",Failure  to enter RREAL IN into database,2015-06-26,$980  Fine,14036-AG15-0612-169,https://www.in.gov/idoi/files/enforcement/14036%20insured%20closing.pdf
"Integrated Insurance Marketing, Inc. d/b/a  AIM Health Plans, Inc.",No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
"Integrity Title Services, Inc.",Employed  Non-Licensed Agent,2013-04-03,$250.00  Penalty,11850-CO13-0305-006,https://www.in.gov/idoi/files/enforcement/11850-CO13-0305-006b.pdf
International Association of Benefits,Discount Medical Program,2009-02-19,$500 Civil Penalty,7676-AG09-0114-008,https://www.in.gov/idoi/files/enforcement/7676.pdf
Interstate Insurance Services LTD,Failed  to Disclose Administrative Action,2016-02-29,Fine  $250,14506-AG15-1130-300,https://www.in.gov/idoi/files/enforcement/14506-AG15-1130-300.pdf
"Ironshore Insurance Services, LLC",Failure  to timely report Other states action,2022-02-17,$500.00  Civil Penalty,20661-AG21-0922-182,https://www.in.gov/idoi/files/enforcement/20661-AG21-0922-182.pdf
"Jackson, David J. & Company, LLC",Failure  to disclose Other states action,2020-10-05,License  Denial,19616-AD20-0805-104,https://www.in.gov/idoi/files/enforcement/19616-AD20-0805-104.pdf
"Jay County Abstract Company, Inc",Failure  to maintain License,2015-02-06,Fined  $2341,13459-AG15-0121-006,https://www.in.gov/idoi/files/enforcement/13459%20jay%20county.pdf
"Jerman, Bryan d/b/a Assura Corportation  d/b/a Insurance Consumer Advocacy Program",No  License,2006-06-16,$2000.00  fine,3031-AG06-0123-010,https://www.in.gov/idoi/files/enforcement/3031-AG06-0123-010b.pdf
"Johnson County Land Title, Inc.",Employed  Non-Licensed Agent,2013-04-03,$500.00  Fine,11826-CO13-0304-005,https://www.in.gov/idoi/files/enforcement/11826-CO13-0304-005b.pdf
"Johnston, James B Inc",Failure  to report Consent Order issued by another State,2015-11-13,$250.00  fine,14627-AG15-1015-261,https://www.in.gov/idoi/files/enforcement/14627-AG15-1015-261.pdf
"Jones Abstract and Title Company, Inc",Delays  in issuance of policies,2016-06-30,"$1,000 Fine",15189-AG16-0531-126,https://www.in.gov/idoi/files/enforcement/15189-AG16-0531-126.pdf
"JT Group, Inc",Market  Conduct Exam,2006-01-04,$2500.00  cost-Market Conduct Exam/Agency License permanently Revoked,3133-MC06-0104-27,https://www.in.gov/idoi/files/enforcement/3133-MC06-0104-27b.pdf
Kentucky Title Services,Failure  to Report RREAL,2013-10-15,$450  Civil Penalty,12350-AG13-0910-104,https://www.in.gov/idoi/files/enforcement/12350%20kentucky%20title.pdf
"Kentucky Title Services, Inc",Failed  to Timely Report Real Estate Transactions,2018-03-12,"$2,000  Fine",16198-AG17-1027-207,https://www.in.gov/idoi/files/enforcement/16198-AG17-1027-207.pdf
"Keystone Title Company, LLC",Failure  to Provide List of Appointments,2007-09-10,License  Suspension,5602-AG07-0827-234,https://www.in.gov/idoi/files/enforcement/5602-AG07-0827-234b.pdf
"Kings Abstract & Title, Inc.",Misappropriation  of Premiums,2009-01-20,"Restitution  of $47,033.56/$5000.00 of TIEFF/Civil Penalty of $10,000.00/License  Permanently Revoked",6201-AG07-1022-280,https://www.in.gov/idoi/files/enforcement/6201-AG07-1022-280b.pdf
"K-M and M Enterprises, Inc. d/b/a Michiana  Insurance",Issued  Fraudulent Certificates of Insurance,2007-02-23,$2000.00  fine/Specific CE Requirements,3458-AG06-0922-140,https://www.in.gov/idoi/files/enforcement/3458-AG06-0922-140b.pdf
Knight Management Insurance Services,No  License,2006-08-22,$2000.00  fine $250.00 Restitution,3493-AG06-0613-087,https://www.in.gov/idoi/files/enforcement/3493-AG06-0613-087b.pdf
Knight-Barry Title Inc,Employed  Unlicensed Closer,2014-02-11,$500.00 fine,12351-AG14-0103-002,https://www.in.gov/idoi/files/enforcement/12351-AG14-0103-002b.pdf
"Land Title Group, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5599-AG07-0827-233,https://www.in.gov/idoi/files/enforcement/5599-AG07-0827-233b.pdf
"LandQuest Title Group, LLC",Failure  to enter final policies within 45 days,2015-09-11,$2000  Administrative penalty,14365-AG15-0806-222,https://www.in.gov/idoi/files/enforcement/14365-AG15-0806-222.pdf
"Liberty Insurance Agency, LLC",Lack of  Fitness/Trustworthiness,2008-02-25,1 year  Probation,6306-AG07-1212-299,https://www.in.gov/idoi/files/enforcement/6306-AG07-1212-299d.pdf
"Liberty Life Insurance Company of  Greenville, SC",Multi  State Market Conduct/Marketing and Sales,2006-01-26,$71162.00  Premium and Taxes and Administrative fees,3109,https://www.in.gov/idoi/files/enforcement/3109b.pdf
"Life Quotes, Inc.",Failure to Report Other State Action,2004-05-12,$250 Fine,4394A,https://www.in.gov/idoi/files/enforcement/4394Ab.pdf
"Lincoln Abstract, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5630-AG07-0827-236,https://www.in.gov/idoi/files/enforcement/5630-AG07-0827-236b.pdf
"Lockyear Title, LLC",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-04-12,Fine  $500.00,14877-AG16-0216-032,https://www.in.gov/idoi/files/enforcement/14877-AG16-0216-032b.pdf
"M.S.T.E., LLC",Failure  to submit list of appointments,2007-09-19,License  Suspension,5606-AG07-0827-227,https://www.in.gov/idoi/files/enforcement/5606-AG07-0827-227b.pdf
"Madison Settlement Services, LLC",Unreported  real estate transactions to RREAL,2014-01-07,$750.00  Civil Penalty,12472-AG13-1022-127,https://www.in.gov/idoi/files/enforcement/12472-AG13-1022-127b.pdf
"MAH Investment Management, LLC",Failed  to Report Other State Actions,2017-06-30,Permanent  Revocation of License,15750-AG17-0320-065,https://www.in.gov/idoi/files/enforcement/15750-AG17-0320-065.pdf
Manning   Riddle Insurance Services Inc.,Failure  to submit list of appointments,2004-12-14,License  Suspension,1413-IDOI-AG04-068,https://www.in.gov/idoi/files/enforcement/1413-IDOI-AG04-068c.pdf
Marshall County Title & Guaranty Co.  Inc.,Expired  Producer License,2015-06-25,"$13,500.00  Fine",14040-AG15-0605-161,https://www.in.gov/idoi/files/enforcement/14040-AG15-0605-161b.pdf
"Massey Abstract, Inc.",Unappointed  Licensee collecting Insurance Premiums,2009-02-06,90 day  Suspension,7573-AG08-1105-273,https://www.in.gov/idoi/files/enforcement/7573-AG08-1105-273b.pdf
Mattingly and Hanson Title Solutions,Employed  Non-Licensed Agent,2014-06-19,Administrative  Penalty $1109.00,12909-AG14-0501-073,https://www.in.gov/idoi/files/enforcement/12909-AG14-0501-073b.pdf
"McGinn & Hayden Enterprises, Inc.",Dishonest  Practices,2013-12-11,Emergency  Cease & Desist,12617-AG13-1204-141,https://www.in.gov/idoi/files/enforcement/12617-AG13-1204-141b.pdf
Meridian Security Insurance Company,Claim Handling,2009-07-07,"$4,500 Administrative Fine.",7693-CO09-0203-004,https://www.in.gov/idoi/files/enforcement/Meridian%20Security%207693%20fo_001.pdf
Meridian Title Corp,Failure  to adhere to the Good Funds Law,2016-04-22,Fine  $1500.00,15051-AG16-0328-072,https://www.in.gov/idoi/files/enforcement/15051-AG16-0328-072b.pdf
Mesirow Insurance Services,Surplus  Lines Tax Violation,2017-03-06,$500.00  administrative fine,15919-AG17-0109-015,https://www.in.gov/idoi/files/enforcement/15919-AG17-0109-015c.pdf
"Metro National Settlement Services, LLC",Failure  to report RREAL transactions,2014-01-24,$2250.00  Civil Penalty,12520-AG13-1218-150,https://www.in.gov/idoi/files/enforcement/12520-AG13-1218-150b.pdf
Metropolitan Business Alliance d/b/a  National Association of Business Leadership,No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
"Metz Title Company, Inc.",Overcharged  Consumers,2020-04-09,$2025.00  Restitution/$2810.00 Civil Penalty,18644-AG19-1118-174,https://www.in.gov/idoi/files/enforcement/18644-AG19-1118-174.pdf
"Mexipass International Insurance Services,  LLC",Suspension  Lifting,2016-01-15,Suspension  Lifted,13718-AG15-0303-055,https://www.in.gov/idoi/files/enforcement/13718-AG15-0303-055b.pdf
"Meymax Title Agency of Ohio, LLC",Employed  Non-Licensed Agent,2014-01-24,Administrative  Penalty $500.00,12584-AG13-1213-147,https://www.in.gov/idoi/files/enforcement/12584-AG13-1213-147b.pdf
MF Title Inc,Failure  to Report RREAL IN,2014-02-26,$1110  Civil Penalty,12587-AG14-0204-012,https://www.in.gov/idoi/files/enforcement/12587%20mf%20title.pdf
"MFLT, LLC",Failure to Submit List of Appointments.,2007-09-26,License Suspended,5648-AG07-0910-254,https://www.in.gov/idoi/files/enforcement/5648-AG07-0910-254b.pdf
Mid-State Farmers Mutual Insurance Company,Claim Handling,2009-11-12,"$19,852 Restitution; $15,000 Administrative Fine",7066-CO09-0330-008,https://www.in.gov/idoi/files/enforcement/7066%20mid-state%20fo_001.pdf
"Midwest Insurance group, Inc. a Risk  Retention Group",Market Conduct Exam,2009-06-02,"Cease & Desist Order, $10 Million to Patient  Compensation Fund",IDOI-MC07-0627-041,https://www.in.gov/idoi/files/enforcement/Midwest%20Final%20Order%206-2-09.pdf
"Midwest Title insurance Agency, Inc. d/b/a  Midwest Title Corp.",Employing Unlicensed Individual,2009-06-05,$500 Fine,6822-AG09-0427-078,"https://www.in.gov/idoi/files/enforcement/Midwest%20Title%20Insurance%20Agency,%20Inc.pdf"
"MJM Global Ins Brokerage Group, Inc",Other  States Action,2019-03-01,$250.00  Fine,17849-AG19-0204-016,https://www.in.gov/idoi/files/enforcement/17849-AG19-0204-016.pdf
"Monument Agency, Inc.",Criminal Record,2009-05-14,License Permanently Revoked,7705-AG09-0415-074,https://www.in.gov/idoi/files/enforcement/7705%20kernan%20fo_001.pdf
"Moore Title & Escrow, Inc.",Failure  to input Real-Estate policies into the RREAL-IN database and failure to  adhere to the Good Funds Law,2015-10-26,"$3,510.00  fine",14502-AG15-1005-256,https://www.in.gov/idoi/files/enforcement/14502-AG15-1005-256.pdf
"My Benefits America, Inc.",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110q.pdf
National 1 Source Inc,Employed  Non-Licensed Agent,2015-01-23,$5037  Fine,12742-AG14-0603-113,https://www.in.gov/idoi/files/enforcement/12742%20national%201.pdf
"National Prearranged Services, Inc.",Lack of  Fitness/Trustworthiness,2008-04-14,Emergency  Suspension Order,6751-AG08-0415-106,https://www.in.gov/idoi/files/enforcement/6751-AG08-0415-106b.pdf
National Title Solutions Inc,"Employing  unlicensed personnel, and over charging on premiums",2015-01-23,Fined  $7614 and must refund consumers $3839,13283-AG14-1126-209,https://www.in.gov/idoi/files/enforcement/13283%20national%20title.pdf
"National Union Fire Insurance Company of  Pittsburgh, PA",Claim  Handling,2013-03-23,$2000  Civil Penalty & $500 to Complainant,11334-CO12-0614-013,https://www.in.gov/idoi/files/enforcement/11334%20national%20union.pdf
"Nations Title Agency of Michigan, Inc.",Failure  to input RREAL into Database,2019-08-16,"$15,500.00  Fine",17916-AG19-0212-019,https://www.in.gov/idoi/files/enforcement/17916-AG19-0212-019.pdf
"Netco, Inc",Overcharged  Consumers & Failing to enter Transactions in RREAL IN,2020-02-28,Restitution  $4144.00/$9398.00 Civil Penalty,17918-AG19-0617-080,https://www.in.gov/idoi/files/enforcement/17918-AG19-0617-080.pdf
"Next Financial Group, Inc.",Other  states action,2020-12-21,$7500.00  Civil Penalty/Submit Corrective Action Plan/Conduct Branch Examinations for 2  years,18866-AG19-1218-206,https://www.in.gov/idoi/files/enforcement/18866-AG19-1218-206c.pdf
North American Title Company,Misrepresentation/signature  of producer licensed only in Illinois,2019-05-17,Civil  Penalty $4672.00/Corrective action plan,17904-AG19-0221-027,https://www.in.gov/idoi/files/enforcement/17904-AG19-0221-027.pdf
"North Manchester Title, Inc.",Failure  to submit list of appointments,2007-09-10,License  Suspension,5636-AG07-0827-237,https://www.in.gov/idoi/files/enforcement/5636-AG07-0827-237b.pdf
"Northeast National Brokerage, LLC",Failed  to Timely Report Other State Action,2018-03-12,$250  Fine,16932-AG18-0207-017,https://www.in.gov/idoi/files/enforcement/16932-AG18-0207-017.pdf
"Northwest Indiana Title Services, Inc.",Failure  to input Real-Estate policies into the RREAL-IN database,2015-04-02,$1980  Fine,13525-AG15-0311-081,https://www.in.gov/idoi/files/enforcement/13525%20northwest.pdf
"Norush Insurance, Inc.",Misappropriation  of Premiums,2012-07-02,License  permanently Revoked,11031-AG12-0426-030,https://www.in.gov/idoi/files/enforcement/11031-AG12-0426-030b.pdf
"Novare National Settlement Service, LLC",Failure  to record real estate transactions into RREAL,2019-07-12,$2400.00  Civil Penalty,17914-AG19-0218-023,https://www.in.gov/idoi/files/enforcement/17914-AG19-0218-023.pdf
"Old Pioneer Land Title, Inc.",Misappropriation  of Premiums,2009-03-05,License  Revoked/$2000.00 Civil Penalty,6709-AG08-0424-115,https://www.in.gov/idoi/files/enforcement/6709-AG08-0424-115c.pdf
"OTM Insurance Specialists, LLC",Other  states action,2020-06-05,Nonrenewal  of License,19050-AD20-0309-045,https://www.in.gov/idoi/files/enforcement/19050-AD20-0309-045.pdf
Overby-Seawell Company,Surplus  Lines Tax Violation,2015-05-21,Lift of  Suspension order,13736-AG15-0303-060,https://www.in.gov/idoi/files/enforcement/13736-AG15-0303-060b.pdf
"Owners Insurance Group, LLC",Lack of Fitness/Trustworthiness,2011-08-09,Nonrenewal of License,8545-AG11-0808-102,https://www.in.gov/idoi/files/enforcement/8545%20owners%20nonrenew_001%20(2).pdf
"Park Avenue Securities, LLC",Failure  to submit list  of appointments,2003-05-08,Vacate  Suspension Order,4245A,https://www.in.gov/idoi/files/enforcement/4245Ab.pdf
"Patriot Land Title of Newburgh, LLC",Failure  to submit list of appointments,2007-09-26,License  Suspension,5647-AG07-0910-251,https://www.in.gov/idoi/files/enforcement/5647-AG07-0910-251b.pdf
"Patriot Title, LLC",Lack of  Fitness/Trustworthiness,2006-05-14,$10000.00  Restitution,1661-AG06-0217-023,https://www.in.gov/idoi/files/enforcement/1661-AG06-0217-023b.pdf
Pekin Insurance Company,Claim Handling,2012-04-10,$636.45 Settlement,11069-CO12-0319-008,https://www.in.gov/idoi/files/enforcement/11069%20pekin%20fo_001.pdf
Peoples Insurance Agency LLC,Selling Insurance Without a License,2017-07-21,$500  Fine,16309-AG17-0629-137,https://www.in.gov/idoi/files/enforcement/16309-AG17-0629-137.pdf
"Performance Title, Inc.",Failure  to enter real-estate transactions into the RREAL IN database/Employed  unlicensed Individuals,2014-12-19,$2825.00  Fine,13095-AG14-0730-142,https://www.in.gov/idoi/files/enforcement/13095-AG14-0730-142b.pdf
PGP Title of Florida Inc,Failure  to enter real-estate transactions into the RREAL IN database,2015-01-30,$3500  Fine,13094-AG14-0919-167,https://www.in.gov/idoi/files/enforcement/13094%20pgp%20title.pdf
Placer Title Company,"Unlicensed,  failure to enter into RREAL IN database, employing unlicensed personnel",2015-02-13,"$12,806  Fine",13089-AG15-0123-011,https://www.in.gov/idoi/files/enforcement/13089%20placer%20title.pdf
Premier Group Insurance,Failure  to Disclose on License Application,2013-07-02,"$1,000 Fine",12205-AG13-0515-035,https://www.in.gov/idoi/files/enforcement/12205%20premier%20group.pdf
"Premium Title Services, Inc","Over  Charge of Rates, Delays in Issuance of Policies, and Failure to Input into  Database",2016-06-23,"Fine  $33,807",14681-AG16-0405-082,https://www.in.gov/idoi/files/enforcement/14681-AG16-0405-082.pdf
"Principal Title Services, LLC",Licensing  Violation,2009-01-29,Civil  Penalty $500.00,6555-AG08-0519-129,https://www.in.gov/idoi/files/enforcement/6555-AG08-0519-129b.pdf
"Priority National Services, Inc","Unlicensed  personnel, failure to enter into RREAL IN database not collecting TIEFF fees",2015-02-06,$2560  Fine,13161-AG14-0906-158,https://www.in.gov/idoi/files/enforcement/13161%20priority.pdf
"Prism Title Services, LLC",Employed  Non-Licensed Agent,2016-04-29,Fine  $2771.00,15053-AG16-0315-046,https://www.in.gov/idoi/files/enforcement/15053-AG16-0315-046b.pdf
Professional Land Title Company,Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-06-23,Fine  $1000.00,15244-AG16-0608-130,https://www.in.gov/idoi/files/enforcement/15244-AG16-0608-130b.pdf
"Professional Service, Inc.",No  License,2012-02-20,$2500.00  Administrative fine,9429-AG10-0628-114,https://www.in.gov/idoi/files/enforcement/9429-AG10-0628-114c.pdf
"Prominent Title Agency, LLC",Over  Charging Premiums & Government Fees/Failure to Collect  TIEFF/Unlicensed/RREAL,2015-01-23,$15000.00  fine/$48347.00 Consumer Refund,13170-AG14-1117-207,https://www.in.gov/idoi/files/enforcement/13170-AG14-1117-207b.pdf
"Quality Title Insurance Agency, Inc",Failure  to enter Transactions into the RREAL IN,2018-07-30,"$19,750  Fine",17246-AG18-0621-105,https://www.in.gov/idoi/files/enforcement/17246-AG18-0621-105.pdf
Quantum Real Estate Owners Assn LLC,Failed  to Provide Semi-Annual Report & Appointments,2017-08-24,$250  Fine,16211-AG17-0509-103,https://www.in.gov/idoi/files/enforcement/16211-AG17-0509-103.pdf
Quick Silva Title & Escow LLC,Administration  Action,2015-05-15,"$3,892.00  Fine",13444-AG15-0319-084,https://www.in.gov/idoi/files/enforcement/13444-AG15-0319-084.pdf
"R. F. Lafferty & Co., Inc.",Failed  to Report Other State Actions,2017-08-24,$750  Fine,16330-AG17-0725-147,https://www.in.gov/idoi/files/enforcement/16330-AG17-0725-147b.pdf
"Ravenswood Title Company, LLC","Employed  Non-Licensed Personnel, over charging on premiums",2015-03-16,Fined  $1895,13449-AG15-0105-001,https://www.in.gov/idoi/files/enforcement/13449%20ravenswood.pdf
"Real Estate Settlement & Escrow, LLC",Failure  to enter 126 transactions in RREAL,2022-10-26,$1760  civil penalty,21409-AG22-0623-105,https://www.in.gov/idoi/files/enforcement/21409-AG22-0623-105.pdf
"Recynt Insurance & Financial Services,  Inc.",Failure  to Comply with Order by the Commissioner.,2008-10-28,License  Permanently Revoked,3164-AG08-0527-130,https://www.in.gov/idoi/files/enforcement/3164-AG08-0527-130d.pdf
"Redhawk Title Agency, LLC",Failure  to Disclose,2017-05-12,License  Denial,15876-AD17-0109-006,https://www.in.gov/idoi/files/enforcement/15876-AD17-0109-006.pdf
"Regional First Title Group, LLC",Failure  to input Real-Estate policies into the RREAL-IN database,2015-04-10,$2650  Fine,13604-AG15-0319-085,https://www.in.gov/idoi/files/enforcement/13604%20regional%20first.pdf
"Regional Land Title Co., II LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5628-AG07-0827-235,https://www.in.gov/idoi/files/enforcement/5628-AG07-0827-235b.pdf
"Regit, Inc.",Unauthorized  Insurance Business,2006-07-13,"Claim  Payment of $13,273.88",3046-AG06-0103-161,https://www.in.gov/idoi/files/enforcement/3046-AG06-0103-161b.pdf
Reid Hospital and Health Care Services,Unauthorized  Insurance Business and MEWA,2005-03-01,$250000.00  Security Deposit/Additional reports requirement,1651-IDOI-CO04-013,https://www.in.gov/idoi/files/enforcement/1651-IDOI-CO04-013b.pdf
"Reltco, Inc",Overcharged  Consumers & Failing to enter Transactions in RREAL IN,2019-06-21,"Pay  restitution to overcharged consumer $56,068.41/$10,500 Civil penalty",18137-AG19-0522-071,https://www.in.gov/idoi/files/enforcement/17137-AG19-0522-071.pdf
"Reltco, Inc.",Overcharging  on Premium Fees/Failing to Collect TIEFF fees,2015-07-02,$5254.00  Fine/$450 refunded to consumers,13605-AG15-0605-162,https://www.in.gov/idoi/files/enforcement/13605-AG15-0605-162b.pdf
"REO Title Services LLC dba Lenders Escrow  & Title Serivces, Inc.",Failure  to enter RREAL transactions into database,2016-04-12,$2580.00  Penalty,14799-AG15-1217-321,https://www.in.gov/idoi/files/enforcement/14799-AG15-1217-321b.pdf
"Resource Real Estate Services, LLC","RREAL  IN, Premium Overcharge, Unlicensed personal signing HUD-1s and TIEFF  Violations",2015-12-04,"$2104.67  fine, mail reimbursement checks and input   info into RREAL IN",14019-AG15-1015-264,https://www.in.gov/idoi/files/enforcement/14019-AG15-1015-264.pdf
"Resource Title Agency, Inc.",Failure  to submit list of appointments,2008-12-22,Order  Reinstating License,7588-AG08-1205-288,https://www.in.gov/idoi/files/enforcement/7588-AG08-1205-288b.pdf
"Rise & Shine Services, LLC",Failure  to pay taxes,2023-04-20,License  Denial,22070-AD23-0117-008,https://www.in.gov/idoi/files/enforcement/22070-AD23-0117-008.pdf
"River City Land Title, LLC",Misappropriation  of Premiums,2009-02-10,Permanent  Revocation/$74180.33 Restitution,5540-AG07-0629-160,https://www.in.gov/idoi/files/enforcement/5540-AG07-0629-160b.pdf
Rounsavall Title Group LLC,Failure  to enter RREAL Transactions,2022-11-10,$950  civil penalty,21460-AG22-0623-106,https://www.in.gov/idoi/files/enforcement/21460-AG22-0623-106.pdf
Royalty Insurance Services Inc,Selling Insurance Without a License,2018-01-26,"$2,000  Fine",16612-AG17-1221-238,https://www.in.gov/idoi/files/enforcement/16612-AG17-1221-238.pdf
"RT Title Agency, LLC",Over  charging on premiums & failure to collect TIEFF,2016-01-08,$1300  fine and reimburse consumers,14032-AG15-1201-306,https://www.in.gov/idoi/files/enforcement/14032-AG15-1201-306.pdf
Safe Auto Insurance Company,Claim Handling,2010-01-29,$2500 Administrative Fine,8960-CO09-1229-019,https://www.in.gov/idoi/files/enforcement/8960%20safe%20auto%20fo_001.pdf
Sammons and Sammons dba Newton County Title  Company,Over  charging on premiums,2015-08-07,$1500  fine and refund to consumers,14039-AG15-0612-170,https://www.in.gov/idoi/files/enforcement/14039-AG15-0612-170.pdf
Satanoff Insurance & Financial Services,Other  states action,2022-01-20,$250.00  Civil Penalty,21040-AG21-1202-228,https://www.in.gov/idoi/files/enforcement/21040-AG21-1202-228.pdf
"Security Abstract & Title Co., Inc.",Employed  Unlicensed Individuals,2008-07-31,$2530.00  fine,6732-AG08-0411-104,https://www.in.gov/idoi/files/enforcement/6732-AG08-0411-104b.pdf
Selective Insurance Co. of the Southeast,Lack of  Fitness/Trustworthiness,2008-08-21,$2500.00  fine,7035-CO08-0630-022,https://www.in.gov/idoi/files/enforcement/7035-CO08-0630-022b.pdf
"Senior Care Services, LLC",No  License in Home State,2021-03-04,License  Suspension,20320-AG21-0226-046,https://www.in.gov/idoi/files/enforcement/20320-AG21-0226-046.pdf
ServiceLink LLC,Failure  to input Real Estate transaction into RREAL database,2019-10-04,$7500.00  fine,18491-AG19-0912-123,https://www.in.gov/idoi/files/enforcement/18491-AG19-0912-123.pdf
"Servicelink Title Agency, Inc, fka LSI  Title Agency Inc",Employed  Non-Licensed Agents,2015-02-06,"Fined  $23,000",12470-AG14-1015-191,https://www.in.gov/idoi/files/enforcement/12470%20servicelink.pdf
Signature Title LLC,Failure  to enter Transactions into the RREAL IN,2017-02-17,$3000.00  fine,15242-AG16-0909-176,https://www.in.gov/idoi/files/enforcement/15242-AG16-0909-0176b.pdf
Silk Abstract Company,Failure  to pay TIEFF/Failure to enter transaction into RREAL IN Database/Lack of  Fitness/Trustworthiness,2019-11-22,Pay  Restitution to overcharged consumer $650.00/$4222.00 civil penalty,18396-AG19-0912-122,https://www.in.gov/idoi/files/enforcement/18396-AG19-0912-122.pdf
Single Source Property Solutions LLC,Employed  Non-Licensed Agent,2015-02-20,$9061  Fine,13442-AG15-0127-015,https://www.in.gov/idoi/files/enforcement/13442%20single%20source.pdf
"Smart Choice, LLC",No  License,2008-11-21,Emergency  Cease & Desist Order.,3277-AG08-1113-278,https://www.in.gov/idoi/files/enforcement/3277-AG08-1113-278b.pdf
"Southwestern Indiana Land Title, Inc",Failure  to enter 277 RREAL transactions,2023-02-21,"$3,170  civil penalty",21908-AG23-0119-009,https://www.in.gov/idoi/files/enforcement/21908-AG23-0119-009.pdf
"Spencer & Associates, LLC",No License,2010-09-29,Permanent Cease & Desist,7861-AG09-1109-229; 8534-AG09-1109-230,https://www.in.gov/idoi/files/enforcement/7861%20speny%20%20assoc%20fo_001.pdf
Springdale Title LLC,Overcharging  on Premium Fees,2017-02-24,$2462  Administrative Penalty,15646-AG17-0125-042,https://www.in.gov/idoi/files/enforcement/15646-AG17-0125-042.pdf
Springdale Title LLC,Failure  to enter RREAL transactions into database,2022-12-08,$2790  civil penalty,21520-AG22-0812-144,https://www.in.gov/idoi/files/enforcement/21520-AG22-0812-144.pdf
Standard Security Life Insurance Company of  New York,Marketing and Sales,2010-06-04,$1500 Administrative Fine,9113-AG10-0517-102,https://www.in.gov/idoi/files/enforcement/9113%20vimo%20fo_001.pdf
Statewide Title Company,Employed  Non-Licensed Agent,2013-04-18,$250  Civil Penalty,11848-C013-0318-007,https://www.in.gov/idoi/files/enforcement/11848%20statewide%20title.pdf
Stewart Title Company,Failure  to enter 617 RREAL transactions,2023-05-04,"$6,570  civil penalty",21787-AG23-0119-010,https://www.in.gov/idoi/files/enforcement/21787-AG23-0119-010.pdf
"Sun Life Assurance Company  of Canada, Sun Life Assurance Company of Canada U.S. As Successor by Merg",Failure  to Pay Assessment,2004-04-16,"$100,000.00  fine",1483-CO04-003,https://www.in.gov/idoi/files/enforcement/1483-CO04-003b.pdf
Superius Health Group,No License,2012-01-09,Emergency Cease & Desist Order,10926-CO12-0109-002,https://www.in.gov/idoi/files/enforcement/10926%20superius%20cd_001.pdf
"Sycamore Land Title, LLC",Over  charging on premiums,2016-09-22,Administrative  Penalty $3299.00,15546-AG16-0809-151,https://www.in.gov/idoi/files/enforcement/15546-AG16-0809-151b.pdf
"TCB Transportation Insurance, Inc.",Lack of  Fitness/Trustworthiness/Unlicensed Employee negotiated Coverage,2021-01-28,License  Permanently Revoked,17270-AG19-0226-030,https://www.in.gov/idoi/files/enforcement/17270-AG19-0226-030c.pdf
Teachers Insurance Company,Unfair  Claim Settlement,2006-08-17,$10000.00  fine,2069-CO05-1222-26,https://www.in.gov/idoi/files/enforcement/2069-CO05-1222-26b.pdf
"Terra Title, LLC",Failure  to input RREAL into Database,2019-08-23,$1040.00  Fine,18356-AG19-0808-109,https://www.in.gov/idoi/files/enforcement/18356-AG19-0808-109.pdf
"The Abstract & Title of Marion County,  Inc.",Employed  Non-Licensed Agent,2013-01-07,$500.00  Civil Penalty,11630-AG12-1210-113,https://www.in.gov/idoi/files/enforcement/11630-AG12-1210-113d.pdf
"The Jones Abstract and Title Company, Inc.",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-06-30,$1000.00  Fine,15189-AG16-0531-126,https://www.in.gov/idoi/files/enforcement/15189-AG16-0531-126c.pdf
